year,month,date,0,1,2,3,4,5,6,7,8,9,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
2016,11,17,431,5,18,14,0,2,80,192,114,41,261,0,137,250,143,164,0,642,276,110,38,425,120,30,229,619,502,17,3,32,1318,563,82,55,113
2016,11,18,316,3,16,13,0,2,53,150,118,61,281,0,206,254,119,3,0,154,269,236,39,156,124,16,224,528,425,17,3,25,1605,810,78,58,110
2016,11,19,402,2,5,15,0,2,154,216,152,38,429,0,141,162,176,0,0,127,416,399,51,200,227,0,326,711,418,54,12,74,1521,749,65,68,66
2016,11,2,307,10,0,19,1,268,151,118,98,62,321,303,121,226,134,165,0,77,328,21,41,263,150,31,230,541,493,46,338,19,1405,830,75,23,29
2016,11,20,553,9,25,25,0,5,324,258,150,48,622,0,249,415,244,4,0,333,533,292,43,544,204,3,280,666,479,64,3,72,1389,575,60,104,62
2016,11,21,322,3,25,20,0,4,60,160,106,53,242,0,87,112,76,2,0,85,327,36,54,706,112,0,224,526,340,26,5,33,1653,527,54,57,30
2016,11,22,387,3,19,25,0,3,99,139,115,37,310,0,122,236,132,7,0,641,345,20,38,1731,151,2,253,644,590,37,2,50,1731,591,154,62,47
2016,11,23,339,0,4,6,0,5,258,235,139,45,341,0,168,314,186,18,0,545,440,647,64,1323,176,3,266,506,548,22,25,68,1359,552,119,126,28
2016,11,24,269,6,18,15,0,6,81,156,121,42,243,0,115,164,89,0,0,211,380,22,27,113,174,0,231,501,461,26,0,19,1498,630,116,40,9
2016,11,25,388,7,3,10,0,2,104,222,78,34,283,0,109,219,69,1,0,199,295,93,20,218,149,0,242,748,680,17,2,54,1640,852,73,53,37
2016,11,26,466,5,1,19,0,6,267,268,189,54,403,0,197,341,147,9,0,371,357,171,60,376,227,0,295,890,680,35,1,20,1494,751,74,89,45
2016,11,27,350,6,5,27,0,1,241,115,107,23,278,0,122,171,148,3,0,472,164,290,20,349,153,0,239,652,582,26,14,43,1089,518,128,421,17
2016,11,28,259,7,7,22,0,0,64,103,79,9,225,0,74,96,66,24,0,157,234,6,36,183,100,0,233,538,507,12,8,12,1558,542,58,35,24
2016,11,29,292,11,7,20,0,5,138,137,79,24,291,0,117,183,118,4,0,65,209,55,31,118,84,0,254,1213,471,32,8,41,1607,663,81,23,49
2016,11,3,252,3,0,16,0,205,235,166,116,29,224,260,176,237,174,196,0,103,507,518,44,327,135,36,251,470,493,17,426,57,1016,687,685,123,31
2016,11,30,350,2,3,18,0,81,107,112,66,33,307,0,124,191,90,74,0,241,207,29,40,106,114,2,375,746,618,31,262,27,1589,702,41,23,16
2016,11,4,287,3,0,16,0,194,73,132,112,35,315,265,106,244,98,165,0,783,513,190,31,975,128,20,212,424,360,12,328,54,1462,636,40,47,16
2016,11,5,405,8,0,18,0,458,512,228,171,57,328,340,169,406,263,416,0,456,900,177,40,929,239,59,249,572,565,103,444,19,1318,605,86,35,60
2016,11,6,271,3,0,35,0,313,178,383,186,105,295,289,195,346,326,446,0,482,703,148,95,261,205,63,306,473,447,99,330,47,1076,543,86,182,29
2016,11,7,237,194,0,8,0,199,51,116,89,118,242,181,75,224,67,130,0,304,258,94,41,257,115,29,225,366,354,12,387,28,1395,550,43,46,22
2016,11,8,264,2,0,14,0,120,129,124,92,88,258,203,96,194,127,123,0,133,279,75,44,707,127,23,171,484,340,5,291,18,1597,623,47,36,5
2016,11,9,271,5,0,20,0,232,151,126,115,78,261,154,105,159,143,178,0,726,223,17,44,312,113,19,184,440,344,13,5,16,1452,649,42,36,23
2016,12,1,301,5,1,43,0,133,117,166,67,24,256,0,206,281,123,238,0,806,547,131,135,583,168,0,435,844,517,15,433,20,1539,608,76,43,17
2016,12,10,472,3,15,16,0,240,102,204,91,18,399,511,268,432,122,339,0,156,535,370,167,1274,206,2,559,1176,712,22,468,63,1525,737,75,25,21
2016,12,11,397,20,13,17,6,346,128,299,148,32,285,382,265,296,121,346,0,252,534,867,171,827,233,3,570,947,560,8,455,103,1161,587,78,55,32
2016,12,12,324,5,8,17,0,132,37,105,45,9,248,268,183,311,67,219,0,64,424,144,66,1412,123,0,439,1046,479,17,357,33,1430,605,36,33,36
2016,12,13,287,9,5,13,0,113,62,51,34,18,305,310,207,367,73,205,0,69,479,18,44,723,117,0,370,879,475,21,374,16,1483,528,55,46,27
2016,12,14,344,10,10,17,0,152,147,85,36,24,286,337,186,390,122,74,0,104,241,47,103,746,108,0,402,961,554,20,407,35,1515,541,36,31,19
2016,12,15,330,3,19,12,0,275,167,128,70,29,353,383,156,400,91,0,0,61,298,65,98,76,144,0,480,908,532,12,10,29,1584,613,53,96,21
2016,12,16,385,12,26,14,0,228,168,175,99,64,370,450,144,473,151,0,0,272,330,54,85,627,171,0,506,1081,627,33,39,20,1676,694,102,57,40
2016,12,17,526,8,13,22,0,240,112,218,103,83,399,534,183,508,154,0,0,140,464,122,136,1133,287,0,691,1160,616,20,39,44,1428,908,75,71,34
2016,12,18,351,16,23,21,0,351,295,384,102,65,545,432,179,453,143,27,0,129,699,512,119,332,180,1,559,993,597,19,2,30,1156,673,62,89,31
2016,12,19,315,7,5,9,0,259,73,185,67,11,246,336,96,350,85,24,0,52,249,30,98,114,149,0,480,881,586,26,22,26,1527,672,43,31,24
2016,12,2,373,10,2,12,0,236,169,174,121,22,300,0,201,295,98,255,0,728,231,32,128,512,209,0,458,997,557,12,336,50,1590,686,40,51,26
2016,12,20,323,9,8,35,0,316,118,257,47,89,355,414,119,438,99,0,0,160,306,85,82,306,128,0,488,1173,530,27,30,94,1633,708,55,251,55
2016,12,21,412,4,13,17,0,232,119,210,83,53,320,328,135,349,116,166,0,75,280,23,97,202,158,20,552,1170,485,18,242,35,1500,722,57,39,38
2016,12,22,373,4,2,27,0,253,121,238,99,48,411,464,142,305,119,268,0,220,269,48,110,657,211,31,595,1197,533,11,553,60,1730,784,45,137,32
2016,12,23,442,8,12,28,0,430,136,326,98,110,364,438,190,365,130,293,0,1113,352,251,118,326,230,31,633,1146,561,18,589,32,1303,691,94,311,39
2016,12,24,409,3,5,9,0,251,163,362,158,65,293,399,157,349,156,287,0,310,80,117,130,455,336,47,666,913,591,17,518,22,1327,684,52,84,74
2016,12,25,397,9,10,18,0,294,143,391,213,60,292,417,196,532,282,495,0,375,101,241,187,340,326,44,703,897,572,19,558,52,1211,657,89,245,59
2016,12,26,327,14,29,8,0,192,117,164,90,11,263,339,72,351,43,223,0,211,78,21,93,55,123,17,421,845,434,52,430,15,1352,559,38,34,20
2016,12,27,346,2,0,18,0,239,130,261,103,0,382,492,156,475,168,522,0,168,895,167,117,163,243,51,548,955,512,29,331,24,1531,759,69,40,33
2016,12,28,309,8,4,10,0,167,187,217,102,0,414,401,166,506,161,399,0,101,651,4,237,636,196,49,512,1095,563,21,341,16,1471,772,98,130,32
2016,12,29,330,5,4,17,0,212,90,209,101,0,436,473,123,451,98,325,0,120,421,3,37,785,291,45,450,1252,553,16,360,15,1260,788,62,18,23
2016,12,3,406,2,10,28,0,269,126,170,117,23,349,0,188,359,139,296,0,854,564,310,140,1085,259,0,546,1236,685,28,448,51,1492,831,133,33,46
2016,12,30,262,12,8,4,1,149,104,201,140,0,461,528,120,519,79,315,0,64,824,4,42,1098,223,42,505,1073,580,11,274,50,1408,820,3,12,67
2016,12,31,233,12,7,6,0,193,51,235,203,0,305,324,150,369,124,183,0,61,510,1,44,533,310,45,409,804,343,15,248,23,853,551,4,13,50
2016,12,4,262,13,13,10,0,139,60,112,52,15,335,0,188,176,91,152,0,265,1036,438,94,1038,143,0,342,717,448,14,324,15,1039,479,114,43,22
2016,12,5,316,4,6,7,0,155,58,131,98,27,231,0,127,151,57,189,0,129,287,41,72,113,180,0,445,783,488,9,328,33,1683,623,106,43,22
2016,12,6,304,9,3,14,0,131,83,181,99,18,263,206,198,247,83,292,0,116,273,191,87,154,188,0,457,772,446,57,330,39,1569,693,83,44,18
2016,12,7,333,7,6,22,3,209,44,141,65,61,233,314,209,253,100,305,0,166,339,5,108,110,159,3,435,882,490,17,353,35,1448,527,94,36,29
2016,12,8,294,8,5,10,0,131,56,89,52,21,266,332,239,484,56,237,0,156,394,127,65,129,112,0,406,641,460,14,317,54,1589,580,76,42,21
2016,12,9,383,9,22,20,0,189,227,166,99,61,378,518,171,220,55,298,0,453,329,38,115,470,162,0,499,1191,583,21,461,53,1727,748,66,83,27
2016,8,25,712,0,4,40,0,99,30,0,89,0,135,116,0,82,84,100,63,89,112,37,118,476,82,20,133,203,224,10,0,12,860,663,15,15,1
2016,8,26,304,4,65,130,0,141,45,0,145,0,234,190,0,238,128,134,155,288,217,508,94,196,89,36,208,451,420,16,8,26,1664,1283,69,35,0
2016,8,27,287,2,36,25,0,214,69,0,185,0,272,182,0,230,172,212,205,71,296,90,185,757,108,46,283,659,470,53,5,47,1306,1353,102,48,3
2016,8,28,287,7,26,78,1,274,136,11,211,0,178,167,0,173,196,226,192,90,331,175,269,1364,169,78,294,587,413,16,6,32,1129,1166,100,30,3
2016,8,29,101,7,32,60,3,161,43,1,115,0,158,105,0,136,59,146,207,118,273,86,116,374,98,56,213,589,534,15,6,42,1140,1002,39,29,1
2016,8,30,99,4,11,25,1,143,79,0,155,0,216,175,0,120,176,215,172,623,315,121,139,374,95,58,232,481,540,48,0,40,1398,1491,57,40,27
2016,8,31,125,2,9,62,0,216,75,0,145,0,267,217,0,121,125,136,128,41,448,1,173,1175,90,57,249,575,558,23,7,29,1368,1186,46,25,6
2016,9,1,95,4,18,27,0,126,23,0,88,0,230,133,0,97,142,118,193,469,193,60,108,445,67,64,201,567,554,31,13,27,1384,1565,37,59,3
2016,9,10,183,3,12,14,0,221,123,0,162,0,314,228,0,278,226,282,206,1350,797,62,202,514,116,82,288,635,633,22,23,30,1385,1117,45,43,5
2016,9,11,168,9,42,26,0,254,71,0,213,0,214,159,0,154,158,164,168,240,739,105,249,129,106,50,262,487,507,19,8,55,1229,901,76,59,2
2016,9,12,199,3,3,27,0,174,24,0,98,0,357,153,34,95,92,142,142,201,701,38,92,345,79,59,193,553,452,21,0,31,1361,851,51,54,4
2016,9,13,240,2,13,24,0,181,63,0,108,0,199,118,85,113,175,170,83,92,359,18,124,142,6,42,193,527,440,70,14,45,1363,1122,59,39,2
2016,9,14,224,3,13,35,0,160,43,0,122,0,205,125,99,158,157,179,180,55,294,21,202,131,0,25,170,592,515,39,3,22,1557,1530,49,36,11
2016,9,15,187,6,7,27,0,157,81,0,145,0,210,131,117,178,143,171,127,541,259,35,144,495,0,27,224,730,523,19,3,36,1564,1541,38,34,3
2016,9,16,256,2,4,25,0,146,100,0,137,0,241,247,180,124,195,32,110,1303,290,82,134,879,3,23,194,752,567,54,6,65,1636,1898,65,59,9
2016,9,17,280,4,10,19,0,293,205,358,151,0,310,265,206,191,265,7,244,533,845,24,244,910,2,35,229,773,649,43,6,39,1632,2203,93,80,45
2016,9,18,248,10,13,13,0,199,206,185,130,0,410,257,206,190,231,2,281,450,375,23,135,1618,0,26,238,698,472,58,9,47,1310,1323,71,18,17
2016,9,19,191,8,11,47,0,213,108,185,128,0,251,248,103,122,191,0,228,624,1041,219,126,692,0,40,217,603,487,6,4,17,1061,993,95,51,0
2016,9,2,94,6,46,56,0,165,28,0,125,0,221,163,0,198,98,118,181,773,211,64,98,685,70,36,244,521,505,19,22,84,1488,1480,55,524,13
2016,9,20,92,3,2,15,1,122,94,110,95,0,234,139,71,118,95,0,120,93,2262,52,107,607,0,30,225,516,479,56,0,23,1419,861,30,33,12
2016,9,21,152,5,1,25,0,182,44,134,105,0,282,209,100,208,157,8,137,199,766,19,128,602,0,29,270,799,552,30,3,53,1472,939,66,32,2
2016,9,22,112,5,10,9,0,158,123,82,68,0,202,164,107,128,158,11,147,197,735,484,109,490,0,34,204,580,496,17,8,36,1110,871,70,27,5
2016,9,23,173,6,15,22,119,184,108,152,100,0,266,241,114,250,103,229,159,385,468,522,127,820,10,40,337,712,606,15,4,126,1572,1184,60,203,13
2016,9,24,174,15,25,24,198,338,193,253,172,0,330,258,158,241,209,469,285,179,495,52,252,714,135,44,346,690,584,21,7,28,1419,1342,89,108,8
2016,9,25,126,12,1,1,114,453,230,156,143,0,248,172,142,226,150,245,266,221,861,213,110,1498,0,43,273,643,537,13,24,55,1273,1277,87,56,3
2016,9,26,150,6,0,0,76,211,131,100,70,0,203,108,60,144,53,171,128,39,313,16,107,1496,0,25,253,612,525,11,4,39,1527,1280,37,49,1
2016,9,27,151,8,0,0,139,133,192,117,88,8,278,142,95,100,102,209,90,548,350,92,118,695,0,31,292,596,494,18,2,56,1604,1378,49,51,8
2016,9,28,107,3,0,0,95,167,62,79,51,12,300,148,92,182,58,170,76,75,316,21,108,224,0,19,233,667,556,36,4,39,1660,1620,71,37,77
2016,9,29,96,3,0,0,96,213,37,77,66,48,208,123,187,141,96,196,39,281,424,55,80,178,43,35,287,667,589,46,6,14,1607,1516,47,36,0
2016,9,3,124,3,24,68,2,197,59,1,206,0,260,222,0,128,182,203,197,138,901,58,201,157,86,77,279,539,493,8,3,78,1286,1200,62,235,1
2016,9,30,101,22,0,0,106,182,156,162,146,39,345,198,123,151,103,363,139,288,850,65,159,259,262,61,332,637,665,28,5,41,1939,1750,37,52,14
2016,9,4,96,2,29,26,0,190,110,0,156,0,210,359,0,132,146,149,226,229,887,104,150,287,122,55,250,513,492,25,13,75,1144,1046,46,64,11
2016,9,5,104,3,11,74,0,148,83,0,66,0,207,154,0,92,76,118,120,282,228,20,107,358,54,39,146,513,568,27,3,43,1325,894,34,44,13
2016,9,6,89,6,22,61,0,146,56,0,132,0,192,199,0,188,160,156,116,112,207,43,112,158,69,58,193,438,537,49,0,54,1398,844,46,35,5
2016,9,7,118,4,4,22,0,143,58,0,116,0,211,165,0,163,222,217,126,54,237,21,129,119,93,52,246,438,562,25,6,10,1253,841,31,18,3
2016,9,8,110,7,16,31,0,210,63,0,110,0,235,165,0,242,164,148,132,931,168,74,144,527,145,49,273,558,520,21,22,27,1302,881,46,40,2
2016,9,9,116,9,16,9,0,170,85,0,121,0,253,132,0,161,221,170,134,1213,314,63,176,566,91,58,225,485,507,14,5,51,1427,829,51,37,26
2017,1,1,169,11,5,13,0,181,43,239,404,0,195,391,325,373,120,212,0,70,496,2,50,2145,290,48,335,393,275,6,199,20,902,367,4,10,11
2017,1,10,258,0,1,43,0,122,204,102,43,106,229,115,94,347,75,117,0,1019,207,53,85,736,120,21,323,382,425,24,289,25,1566,561,59,19,44
2017,1,11,372,0,2,14,0,137,227,127,97,146,274,231,161,416,157,127,0,1121,231,23,132,1241,185,27,380,515,559,20,325,33,1441,696,110,31,14
2017,1,12,329,0,1,16,0,100,203,143,87,149,226,137,148,455,128,140,0,883,178,4,109,801,114,31,335,431,439,19,317,37,1428,577,89,25,36
2017,1,13,401,2,3,19,0,165,337,128,84,138,265,241,85,397,96,140,0,879,479,266,95,891,155,48,440,492,391,57,360,55,1607,678,70,37,25
2017,1,14,494,0,1,7,0,283,193,124,72,158,363,250,126,361,118,126,0,965,291,44,127,477,165,35,423,539,354,28,328,33,1213,747,82,39,33
2017,1,15,372,0,4,22,0,165,200,0,157,126,404,181,164,379,140,146,0,442,802,7,124,983,127,40,338,351,209,12,275,29,1038,604,59,29,9
2017,1,16,356,0,0,17,0,143,168,0,19,60,222,132,73,436,47,115,0,528,272,64,94,316,92,20,298,360,243,15,304,24,1463,684,20,34,22
2017,1,17,336,2,0,26,0,132,126,0,61,50,210,145,119,377,118,135,0,693,290,74,66,478,120,31,328,318,181,18,260,17,1424,628,78,53,21
2017,1,18,381,0,3,30,105,168,117,82,67,56,200,190,111,354,91,119,0,700,373,15,102,591,161,30,392,565,362,16,320,28,1403,553,134,52,22
2017,1,19,287,2,1,9,142,120,96,54,57,60,242,148,121,315,98,107,0,233,452,78,85,684,98,28,441,457,631,15,345,56,1425,636,68,218,27
2017,1,2,397,19,23,20,6,330,134,287,294,0,221,484,220,462,143,230,0,127,264,2,48,1904,296,64,527,716,439,15,311,27,1022,719,18,8,37
2017,1,20,358,2,1,18,163,183,83,72,75,122,257,260,136,275,143,139,0,505,829,52,102,776,152,47,467,521,660,54,388,42,1641,759,76,87,42
2017,1,21,371,0,2,22,138,181,120,132,92,86,323,233,174,346,194,201,0,850,485,344,168,547,192,34,541,583,722,34,341,51,1305,722,132,205,32
2017,1,22,344,0,0,15,138,178,219,105,91,92,262,178,143,583,129,147,0,953,835,171,169,55,156,59,348,396,569,14,288,28,1069,529,87,70,12
2017,1,23,276,1,1,20,137,125,69,99,75,22,196,121,69,355,71,156,18,773,246,12,95,19,90,16,227,458,451,20,309,29,1368,714,38,48,26
2017,1,24,332,0,2,15,138,115,154,104,113,117,186,85,85,377,105,140,17,1036,273,61,131,36,114,30,196,466,491,14,332,36,1438,649,63,29,12
2017,1,25,294,2,0,7,105,106,186,69,57,92,280,140,71,142,130,119,15,1158,392,2,75,39,97,32,172,391,473,21,249,12,1331,700,123,16,43
2017,1,26,303,0,0,12,163,136,310,114,63,84,214,115,74,212,91,121,36,1205,264,63,119,47,139,52,226,495,609,16,312,23,1549,679,78,27,17
2017,1,27,414,1,5,32,205,196,227,145,135,110,273,239,182,298,200,163,67,1304,288,72,136,56,188,30,294,600,740,20,437,118,1708,846,95,88,27
2017,1,28,474,0,5,15,141,211,157,206,135,99,385,284,216,248,242,161,91,1503,1649,71,179,61,221,33,322,749,716,23,375,28,1378,812,102,62,40
2017,1,29,276,2,10,17,151,194,238,142,116,100,307,204,124,125,138,124,151,1128,1617,634,85,36,126,36,247,398,484,4,336,186,1117,626,101,118,19
2017,1,3,351,9,9,20,0,208,53,232,146,0,299,414,203,403,143,270,0,53,311,0,205,1833,317,31,458,803,398,11,363,24,1120,698,15,33,27
2017,1,30,343,0,0,13,88,122,68,83,68,35,207,114,77,266,75,138,59,644,366,31,102,48,148,31,260,436,596,11,354,24,1549,666,64,31,28
2017,1,31,391,0,0,15,182,182,62,163,123,146,298,130,141,351,144,175,170,997,238,60,139,70,219,56,530,482,580,23,430,31,1526,823,120,53,26
2017,1,4,281,28,25,15,0,193,167,176,105,0,241,392,141,306,164,183,0,152,287,0,125,1072,273,40,484,897,340,8,247,29,1182,721,16,19,19
2017,1,5,269,16,12,35,0,153,72,172,78,0,275,293,114,354,132,173,0,90,270,209,135,107,206,40,470,774,340,5,279,53,1343,739,180,33,18
2017,1,6,328,8,28,13,0,217,120,190,82,99,323,377,204,329,94,124,0,166,492,74,162,100,175,32,521,813,387,17,333,24,1497,768,86,29,38
2017,1,7,374,17,17,11,0,237,255,230,227,128,320,361,180,574,203,157,0,80,1152,30,156,124,254,59,485,791,472,26,330,21,1302,716,164,52,22
2017,1,8,261,4,3,5,1,212,118,145,91,137,392,291,117,431,166,227,0,84,678,103,147,257,190,75,391,800,359,19,291,18,1019,572,84,42,36
2017,1,9,275,0,5,18,0,237,243,216,106,177,261,236,140,426,135,187,0,80,537,61,146,414,217,74,321,566,353,19,224,35,1108,703,23,16,32
2017,10,1,655,0,6,65,315,395,271,306,202,64,348,587,357,333,189,485,270,165,472,466,161,198,409,117,778,1361,919,41,790,61,1577,1392,180,151,74
2017,10,10,354,0,12,32,158,144,30,167,118,37,332,357,304,170,103,407,131,115,351,119,64,141,268,76,481,1316,734,36,487,37,1876,1588,90,50,31
2017,10,11,346,0,7,46,244,213,76,168,149,55,335,416,266,171,133,561,172,110,296,19,84,154,251,71,564,1471,832,37,688,55,1913,1521,158,48,48
2017,10,12,368,0,14,41,164,172,79,138,93,37,312,408,332,155,132,486,143,77,322,102,69,136,249,59,598,1429,836,29,739,61,1962,1600,159,74,38
2017,10,13,393,0,9,37,207,224,108,218,116,62,421,531,302,209,126,388,160,86,242,201,73,151,246,194,542,1636,979,44,772,35,2052,1811,91,130,68
2017,10,14,518,0,18,47,339,387,234,307,169,64,486,630,540,299,250,868,311,301,571,33,126,390,418,200,676,1908,1240,83,936,85,1780,1673,154,140,52
2017,10,15,335,0,12,43,289,470,257,283,216,43,513,506,384,182,186,659,204,225,378,53,154,319,310,141,544,1221,715,25,634,295,1368,1137,201,386,51
2017,10,16,0,0,0,0,0,0,0,0,0,0,291,337,203,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
2017,10,17,239,0,3,12,154,182,41,147,96,40,343,435,308,131,138,306,112,71,210,195,55,114,263,50,363,1005,555,18,0,27,1564,1324,95,52,18
2017,10,18,323,0,38,47,261,192,110,184,130,40,349,464,317,163,106,508,171,163,342,24,107,133,233,95,472,1471,760,37,0,41,2110,1659,184,62,15
2017,10,19,283,0,12,23,213,196,62,137,68,50,372,409,337,221,140,423,167,63,307,134,61,119,248,39,491,1379,773,23,0,97,1939,1726,77,282,55
2017,10,2,396,0,1,9,100,135,15,107,87,35,282,318,229,157,100,240,123,33,321,100,38,66,140,245,506,1151,616,51,604,34,1897,1463,47,47,88
2017,10,20,419,1,20,50,269,237,103,194,111,36,465,622,327,176,168,477,152,182,380,190,81,154,244,82,548,2141,959,33,0,62,2229,1922,93,267,33
2017,10,21,443,0,7,16,157,244,91,164,124,45,437,655,313,206,196,343,154,103,428,247,67,120,250,77,483,2021,923,80,0,31,1880,1764,202,142,41
2017,10,22,246,0,13,17,107,172,128,93,67,60,290,462,224,132,105,269,111,63,355,972,49,73,151,37,360,1174,783,15,0,8,1316,1238,200,155,23
